model_name,group
facebook/deit-tiny-patch16-224,small
facebook/deit-small-patch16-224,small
facebook/dinov2-small-imagenet1k-1-layer,small
apple/mobilevit-small,small
apple/mobilevit-xx-small,small
microsoft/cvt-13,small
microsoft/beit-base-patch16-224-pt22k-ft22k,small
microsoft/beit-base-patch16-224,small
Intel/vit-base-patch16-224-int8-static,small
facebook/deit-base-patch16-224,small
facebook/dinov2-base-imagenet1k-1-layer,small
microsoft/swinv2-base-patch4-window8-256,medium
google/vit-large-patch16-224,medium
microsoft/cvt-21-384-22k,medium
facebook/deit-base-patch16-384,medium
google/vit-base-patch16-384,medium
microsoft/swin-base-patch4-window12-384,medium
microsoft/swin-large-patch4-window12-384-in22k,large
microsoft/beit-large-patch16-512,large
microsoft/cvt-21-384,medium
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,large
Zetatech/pvt-large-224,medium
