model_name,samples_per_gpu_per_s,hours_50k_10epochs,group
facebook/deit-tiny-patch16-224,29.76474324936201,4.666221634277523,small
facebook/deit-small-patch16-224,28.021551432362717,4.956502470041077,small
facebook/dinov2-small-imagenet1k-1-layer,25.82519025267407,5.3780393302042615,small
apple/mobilevit-small,21.832720129232943,6.361501822346153,small
apple/mobilevit-xx-small,21.76362573576915,6.381698094569829,small
microsoft/cvt-13,21.47657211760675,6.466995204277787,small
microsoft/beit-base-patch16-224-pt22k-ft22k,20.567658652815243,6.752780724016837,small
microsoft/beit-base-patch16-224,20.500991217846035,6.77474017783036,small
Intel/vit-base-patch16-224-int8-static,20.496216789684016,6.776318298838119,small
facebook/deit-base-patch16-224,20.397916999420207,6.808974116956976,small
facebook/dinov2-base-imagenet1k-1-layer,19.462187147060305,7.136345357251771,small
microsoft/swinv2-base-patch4-window8-256,15.167451443794771,9.157035340021503,medium
google/vit-large-patch16-224,12.39276103151721,11.207259507035385,medium
microsoft/cvt-21-384-22k,12.17671332583858,11.406106489685628,medium
facebook/deit-base-patch16-384,10.638745735496354,13.05500595107596,medium
google/vit-base-patch16-384,10.288464659080049,13.49947669464102,medium
microsoft/swin-base-patch4-window12-384,10.039261652735084,13.834572072444209,medium
microsoft/swin-large-patch4-window12-384-in22k,7.274174147674103,19.093423675222052,large
microsoft/beit-large-patch16-512,3.0137993983942306,46.08431767651479,large
microsoft/cvt-21-384,,,medium
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,,large
Zetatech/pvt-large-224,,,medium
