model_name,samples_per_gpu_per_s,hours_50000_10epochs,group,request_hours_50000,safety_margin_50000,request_hours_500,request_hours_1000,request_hours_5000,request_hours_10000,request_walltime_500,request_walltime_1000,request_walltime_5000,request_walltime_10000,request_walltime_50000
facebook/deit-tiny-patch16-224,29.76474324936201,4.666221634277523,small,12,2.571673816744878,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
facebook/deit-small-patch16-224,28.021551432362717,4.956502470041077,small,12,2.4210620437561388,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
facebook/dinov2-small-imagenet1k-1-layer,25.82519025267407,5.3780393302042615,small,12,2.23129643783104,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
apple/mobilevit-small,21.832720129232943,6.361501822346153,small,12,1.8863470191657261,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
apple/mobilevit-xx-small,21.76362573576915,6.381698094569829,small,12,1.8803772635704545,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
microsoft/cvt-13,21.47657211760675,6.466995204277787,small,12,1.8555758309612231,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
microsoft/beit-base-patch16-224-pt22k-ft22k,20.567658652815243,6.752780724016837,small,12,1.777045707603237,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
microsoft/beit-base-patch16-224,20.500991217846035,6.77474017783036,small,12,1.7712856412218974,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
Intel/vit-base-patch16-224-int8-static,20.496216789684016,6.776318298838119,small,12,1.7708731306286989,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
facebook/deit-base-patch16-224,20.397916999420207,6.808974116956976,small,12,1.7623800287499058,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
facebook/dinov2-base-imagenet1k-1-layer,19.462187147060305,7.136345357251771,small,12,1.6815329695060104,1,1,2,3,0-1:0:0,0-1:0:0,0-2:0:0,0-3:0:0,0-12:0:0
microsoft/swinv2-base-patch4-window8-256,15.167451443794771,9.157035340021503,medium,23,2.5117299590924143,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
google/vit-large-patch16-224,12.39276103151721,11.207259507035385,medium,23,2.05224122681925,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
microsoft/cvt-21-384-22k,12.17671332583858,11.406106489685628,medium,23,2.0164637267588685,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
facebook/deit-base-patch16-384,10.638745735496354,13.05500595107596,medium,23,1.761776293798196,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
google/vit-base-patch16-384,10.288464659080049,13.49947669464102,medium,23,1.7037697475436562,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
microsoft/swin-base-patch4-window12-384,10.039261652735084,13.834572072444209,medium,23,1.66250172969293,1,1,3,5,0-1:0:0,0-1:0:0,0-3:0:0,0-5:0:0,0-23:0:0
microsoft/swin-large-patch4-window12-384-in22k,7.274174147674103,19.093423675222052,large,72,3.7709318781542542,1,2,8,15,0-1:0:0,0-2:0:0,0-8:0:0,0-15:0:0,3-0:0:0
microsoft/beit-large-patch16-512,3.0137993983942306,46.08431767651479,large,72,1.562353608127569,1,2,8,15,0-1:0:0,0-2:0:0,0-8:0:0,0-15:0:0,3-0:0:0
